ID,x,y,z,wire_direction_x,wire_direction_y,wire_direction_z,halflength,type,sector,layer,layer_lim,sector_lim,num_neighbors
62,17.5628,-12.1677,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
63,18.441,-11.6607,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
64,8.78135,-17.2377,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
65,7.9032,-17.7447,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
66,7.02505,-18.2517,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
67,6.1469,-18.7587,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
68,5.26875,-19.2657,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
69,4.3906,-19.7727,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
70,3.51245,-20.2797,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
71,10.5381,-17.2385,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
72,11.4162,-16.7315,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
73,12.2944,-16.2245,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
74,13.1725,-15.7175,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
75,14.0507,-15.2105,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
76,14.9288,-14.7035,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
77,15.807,-14.1965,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
78,16.6851,-13.6895,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
79,17.5633,-13.1825,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
80,18.4414,-12.6755,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
81,19.3196,-12.1685,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
82,9.65993,-17.7455,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
83,8.78178,-18.2525,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
84,7.90363,-18.7595,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
85,7.02548,-19.2665,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
86,6.14733,-19.7735,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
87,5.26918,-20.2805,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
88,4.39103,-20.7875,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
89,3.51288,-21.2945,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
90,10.538,-18.2524,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
91,11.4162,-17.7454,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
92,12.2943,-17.2384,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
93,13.1724,-16.7314,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
94,14.0506,-16.2244,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
95,14.9287,-15.7174,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
96,15.8069,-15.2104,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
